r,z,pressure,ne
83.50507366,22.29087389,2.6664,1.42E+17
198.9188755,22.3080739,2.6664,2.39E+16
137.1097132,22.31322833,2.6664,9.46E+16
191.9756263,22.33396329,2.6664,3.06E+16
123.5375268,22.39048111,2.6664,1.10E+17
150.5886303,22.48589771,2.6664,7.88E+16
179.9118833,22.55202737,2.6664,4.36E+16
157.4216916,22.60267588,2.6664,7.07E+16
186.4664688,22.68111292,2.6664,3.67E+16
163.5997904,22.74464335,2.6664,6.35E+16
213.0615407,23.19436737,2.6664,1.12E+16
56.80683847,23.50593941,2.6664,1.59E+17
5.420442549,23.84512276,2.6664,1.65E+17
38.29623396,24.7890471,2.6664,1.70E+17
44.78231348,24.86867015,2.6664,1.70E+17
50.52421995,24.93569698,2.6664,1.70E+17
27.41037123,25.22001168,2.6664,1.73E+17
16.28425077,25.46052923,2.6664,1.75E+17
170.5151981,25.84311645,2.6664,6.14E+16
206.2214044,25.95460662,2.6664,1.91E+16
193.9720168,26.07034728,2.6664,3.25E+16
217.4863512,26.10629562,2.6664,7.79E+15
222.0352157,26.46087429,2.6664,3.36E+15
224.7291346,26.46087429,2.6664,7.78E+14
225,26.46087429,2.6664,5.60E+14
223.8190269,26.46087429,2.6664,1.62E+15
224.349923,26.46087429,2.6664,1.12E+15
223.0757722,26.46087429,2.6664,2.34E+15
220.2428786,27.28101839,2.6664,5.23E+15
182.5132716,27.47431043,2.6664,4.83E+16
188.500877,27.65951122,2.6664,4.08E+16
177.0759098,28.02705317,2.6664,5.65E+16
0,28.32417332,2.6664,1.90E+17
199.0661296,29.01096108,2.6664,2.92E+16
10.8954825,29.35728728,2.6664,1.97E+17
212.9022315,29.49045221,2.6664,1.34E+16
21.89476054,30.40838715,2.6664,2.03E+17
193.195395,31.00808605,2.6664,3.82E+16
120.5277207,31.11763199,2.6664,1.50E+17
66.74154307,31.13305231,2.6664,1.99E+17
114.1006846,31.15121819,2.6664,1.59E+17
73.46114622,31.15715269,2.6664,1.95E+17
146.653959,31.15765098,2.6664,1.11E+17
140.4790979,31.16786978,2.6664,1.21E+17
93.67682494,31.19032673,2.6664,1.81E+17
133.6492095,31.20192694,2.6664,1.32E+17
127.3803824,31.20565652,2.6664,1.41E+17
59.78641601,31.22274116,2.6664,2.02E+17
100.1799349,31.22428158,2.6664,1.75E+17
107.1934742,31.26941055,2.6664,1.68E+17
87.10433696,31.30191336,2.6664,1.87E+17
153.5561438,31.40771942,2.6664,1.00E+17
34.11349275,31.44199045,2.6664,2.08E+17
80.20210719,31.44334166,2.6664,1.93E+17
160.3368915,31.62405317,2.6664,8.92E+16
53.8658075,31.82396857,2.6664,2.06E+17
167.4121866,31.85365867,2.6664,7.81E+16
186.8596638,32.3838627,2.6664,4.85E+16
180.2184929,32.55656769,2.6664,5.87E+16
207.4491679,32.6314574,2.6664,2.10E+16
47.58065208,32.74659837,2.6664,2.12E+17
217.7848677,32.78022092,2.6664,8.70E+15
222.0346041,33.07609286,2.6664,3.85E+15
224.7290787,33.07609286,2.6664,8.31E+14
225,33.07609286,2.6664,5.82E+14
223.8187832,33.07609286,2.6664,1.82E+15
224.3497889,33.07609286,2.6664,1.24E+15
223.0753753,33.07609286,2.6664,2.66E+15
174.3478357,33.17332209,2.6664,6.90E+16
41.95397045,33.20243825,2.6664,2.15E+17
5.468068794,33.91598093,2.6664,2.20E+17
220.4054225,34.03824633,2.6664,5.82E+15
191.8498733,35.28835894,2.6664,4.39E+16
16.45061064,35.38761098,2.6664,2.27E+17
27.74820127,35.62453367,2.6664,2.28E+17
198.9238093,35.63547509,2.6664,3.40E+16
214.1284758,36.21379558,2.6664,1.38E+16
183.072399,37.55355047,2.6664,6.00E+16
143.4773408,37.61828107,2.6664,1.33E+17
137.1288574,37.62082905,2.6664,1.45E+17
38.24090168,37.63505961,2.6664,2.35E+17
187.9213558,37.64428272,2.6664,5.20E+16
130.6491494,37.6982348,2.6664,1.56E+17
124.0243471,37.76115884,2.6664,1.68E+17
149.9235358,37.76188984,2.6664,1.21E+17
117.3256017,37.81600407,2.6664,1.79E+17
70.02888847,37.82570064,2.6664,2.27E+17
110.6012586,37.86085757,2.6664,1.88E+17
76.87385396,37.86611977,2.6664,2.23E+17
83.65590015,37.88664921,2.6664,2.18E+17
63.27471022,37.88826615,2.6664,2.30E+17
103.8715546,37.89022654,2.6664,1.97E+17
90.40605491,37.89982246,2.6664,2.12E+17
97.14129,37.90257005,2.6664,2.05E+17
56.60343845,37.91545533,2.6664,2.32E+17
50.0274104,37.93949876,2.6664,2.34E+17
156.5759771,37.94593559,2.6664,1.09E+17
176.9442395,37.97442258,2.6664,7.11E+16
43.68294116,38.05219512,2.6664,2.36E+17
163.4034617,38.10807094,2.6664,9.63E+16
170.3866406,38.24712843,2.6664,8.34E+16
0,38.85257872,2.6664,2.40E+17
10.99997165,39.30960523,2.6664,2.43E+17
208.9733343,39.37964582,2.6664,2.15E+16
222.0371635,39.69131143,2.6664,4.22E+15
224.7293126,39.69131143,2.6664,8.75E+14
225,39.69131143,2.6664,6.01E+14
223.0770364,39.69131143,2.6664,2.90E+15
223.8198027,39.69131143,2.6664,1.97E+15
224.3503501,39.69131143,2.6664,1.32E+15
217.8395803,39.69211539,2.6664,9.62E+15
192.623894,40.06132295,2.6664,4.63E+16
22.01794544,40.39400138,2.6664,2.47E+17
33.37268249,40.50885629,2.6664,2.46E+17
220.4057995,40.56718424,2.6664,6.38E+15
180.3742915,41.90708318,2.6664,6.89E+16
199.995845,42.43904369,2.6664,3.57E+16
140.4459064,42.65774681,2.6664,1.50E+17
146.3303509,42.81755042,2.6664,1.38E+17
47.1769671,42.8598208,2.6664,2.51E+17
134.2764275,42.90905562,2.6664,1.62E+17
214.2979673,42.96529803,2.6664,1.48E+16
127.7144599,42.98367873,2.6664,1.75E+17
186.2918642,42.99059551,2.6664,5.91E+16
121.0010635,43.03583358,2.6664,1.87E+17
114.2599098,43.09069604,2.6664,1.98E+17
107.5063581,43.13147909,2.6664,2.08E+17
66.60394408,43.15038036,2.6664,2.46E+17
100.7537745,43.15682596,2.6664,2.17E+17
53.19633537,43.16051848,2.6664,2.51E+17
73.57269683,43.16496716,2.6664,2.42E+17
80.4357166,43.16638989,2.6664,2.37E+17
94.00008776,43.16769029,2.6664,2.25E+17
87.23400238,43.16854148,2.6664,2.32E+17
152.8699323,43.18104446,2.6664,1.25E+17
59.67740459,43.31698899,2.6664,2.49E+17
159.7098353,43.45319846,2.6664,1.12E+17
166.8005372,43.70525662,2.6664,9.72E+16
16.51761143,43.78403129,2.6664,2.57E+17
27.70074578,43.785994,2.6664,2.57E+17
5.492516059,43.80711828,2.6664,2.57E+17
39.76355612,43.81558387,2.6664,2.56E+17
174.657145,44.36232074,2.6664,8.22E+16
192.8735889,45.96789579,2.6664,4.90E+16
207.9344988,46.25247304,2.6664,2.46E+16
217.918155,46.30496277,2.6664,1.02E+16
222.0478902,46.30653,2.6664,4.48E+15
224.7302926,46.30653,2.6664,9.10E+14
225,46.30653,2.6664,6.20E+14
223.0839983,46.30653,2.6664,3.07E+15
223.8240756,46.30653,2.6664,2.08E+15
224.3527021,46.30653,2.6664,1.39E+15
143.3530459,46.74949528,2.6664,1.50E+17
50.09256168,47.02136349,2.6664,2.61E+17
22.11012152,47.16043654,2.6664,2.64E+17
11.02330089,47.18662535,2.6664,2.65E+17
220.4836855,47.20959794,2.6664,6.67E+15
33.52204075,47.22066805,2.6664,2.64E+17
0,47.25481549,2.6664,2.64E+17
180.8158659,47.31016498,2.6664,7.20E+16
148.8270304,47.97637191,2.6664,1.40E+17
138.1090685,48.23487985,2.6664,1.63E+17
131.6358859,48.26145827,2.6664,1.76E+17
124.8084359,48.28139614,2.6664,1.89E+17
117.9824799,48.31233465,2.6664,2.02E+17
111.1984563,48.35826957,2.6664,2.13E+17
104.4211834,48.38939675,2.6664,2.23E+17
97.64948597,48.40878364,2.6664,2.32E+17
45.04771307,48.40939696,2.6664,2.65E+17
90.86890334,48.42273134,2.6664,2.40E+17
84.06541966,48.43779021,2.6664,2.46E+17
77.21618527,48.46417839,2.6664,2.52E+17
70.27738063,48.51511903,2.6664,2.56E+17
162.5081814,48.57623364,2.6664,1.11E+17
63.06806855,48.64569405,2.6664,2.60E+17
155.8520309,49.13466559,2.6664,1.26E+17
55.36436449,49.15147465,2.6664,2.64E+17
201.0570336,49.56559429,2.6664,3.61E+16
169.3167034,49.65627993,2.6664,9.69E+16
186.5690099,49.89705363,2.6664,6.20E+16
214.5452416,50.04762377,2.6664,1.52E+16
16.56646812,50.54492574,2.6664,2.70E+17
27.74443554,50.54570046,2.6664,2.69E+17
5.515561311,50.58949206,2.6664,2.69E+17
39.18342234,50.73129341,2.6664,2.69E+17
175.6208566,51.14032967,2.6664,8.43E+16
49.72158763,51.66420262,2.6664,2.68E+17
143.4492708,52.6327373,2.6664,1.56E+17
159.851684,52.9169668,2.6664,1.19E+17
222.0719987,52.92174857,2.6664,4.57E+15
224.7324951,52.92174857,2.6664,9.33E+14
225,52.92174857,2.6664,6.36E+14
223.0996454,52.92174857,2.6664,3.14E+15
223.8336788,52.92174857,2.6664,2.12E+15
224.3579883,52.92174857,2.6664,1.42E+15
217.8110561,52.98470446,2.6664,1.06E+16
193.3982733,53.08164826,2.6664,4.99E+16
208.7375711,53.11763263,2.6664,2.41E+16
150.6077691,53.30271064,2.6664,1.40E+17
128.7637707,53.56053789,2.6664,1.87E+17
181.3327795,53.56778278,2.6664,7.31E+16
121.7840316,53.57569749,2.6664,2.00E+17
114.9198432,53.60503135,2.6664,2.12E+17
136.1502494,53.61671706,2.6664,1.72E+17
108.1059985,53.63381417,2.6664,2.23E+17
101.3116671,53.65575489,2.6664,2.33E+17
94.51809345,53.67498984,2.6664,2.41E+17
87.71382655,53.69689174,2.6664,2.48E+17
80.88237365,53.73399465,2.6664,2.55E+17
74.00944704,53.80463405,2.6664,2.59E+17
22.11758918,53.91400434,2.6664,2.72E+17
11.04723056,53.93880914,2.6664,2.72E+17
33.36740217,53.94028378,2.6664,2.71E+17
67.08456833,53.9490859,2.6664,2.63E+17
220.445517,53.95221096,2.6664,6.88E+15
0,54.00065546,2.6664,2.71E+17
164.9237239,54.1069967,2.6664,1.08E+17
44.52362093,54.1072889,2.6664,2.70E+17
60.17886231,54.2801768,2.6664,2.66E+17
155.9899445,54.48597243,2.6664,1.28E+17
171.0510719,54.97301545,2.6664,9.48E+16
53.84619397,55.00543681,2.6664,2.68E+17
48.96713908,56.03568677,2.6664,2.69E+17
186.8126442,56.32348015,2.6664,6.24E+16
213.3149047,56.58918575,2.6664,1.72E+16
201.7884021,56.66483804,2.6664,3.53E+16
176.5162206,57.00569702,2.6664,8.32E+16
27.65095943,57.25759699,2.6664,2.71E+17
39.00510948,57.27346638,2.6664,2.71E+17
16.58251274,57.28278356,2.6664,2.71E+17
5.528953915,57.34132426,2.6664,2.71E+17
159.9620295,58.22481225,2.6664,1.19E+17
146.8179657,58.58959121,2.6664,1.49E+17
139.7731116,58.62680562,2.6664,1.64E+17
132.6346247,58.80597819,2.6664,1.79E+17
125.5764132,58.84011706,2.6664,1.93E+17
153.6758382,58.85033763,2.6664,1.33E+17
118.6502977,58.86487641,2.6664,2.06E+17
111.7950709,58.89098389,2.6664,2.18E+17
104.9759982,58.91300478,2.6664,2.28E+17
98.17383076,58.93017645,2.6664,2.37E+17
91.36990426,58.94940551,2.6664,2.45E+17
84.55215795,58.98049991,2.6664,2.51E+17
77.71444134,59.03776247,2.6664,2.56E+17
70.87035043,59.14028477,2.6664,2.60E+17
166.9067743,59.19293764,2.6664,1.04E+17
64.10030999,59.31407839,2.6664,2.64E+17
217.5145937,59.34357654,2.6664,1.10E+16
193.2402442,59.43926207,2.6664,4.99E+16
222.1283981,59.53696714,2.6664,4.48E+15
224.7376478,59.53696714,2.6664,9.42E+14
225,59.53696714,2.6664,6.52E+14
